Genes,log2foldChange,pValues,FDR
ENSG00000165383.12,2.296224094,2.12E-09,5.69E-09
ENSG00000165474.8,5.00224439,1.66E-33,1.14E-31
ENSG00000165480.16,1.503086919,1.00E-30,3.46E-29
ENSG00000165490.13,1.244613856,1.03E-35,1.57E-33
ENSG00000165799.5,3.470729093,1.36E-22,1.31E-21
ENSG00000165807.8,2.401214617,1.30E-05,2.49E-05
ENSG00000165891.16,2.509169061,2.24E-34,2.05E-32
ENSG00000165923.17,1.022422272,0.000843063,0.001345767
ENSG00000166006.14,5.37819932,5.57E-24,6.35E-23
ENSG00000166091.21,1.288306061,1.91E-17,1.06E-16
ENSG00000166105.16,1.256941342,2.48E-06,5.04E-06
ENSG00000166278.16,2.598198931,1.40E-15,6.45E-15
ENSG00000166415.15,3.23559684,6.86E-08,1.61E-07
ENSG00000166451.14,1.918406736,6.54E-37,1.73E-34
ENSG00000166535.20,1.252781264,1.30E-16,6.63E-16
ENSG00000166573.6,2.084892484,6.12E-23,6.12E-22
ENSG00000166596.15,1.045517329,9.53E-06,1.84E-05
ENSG00000166851.15,1.311638543,3.27E-37,1.10E-34
ENSG00000166920.13,2.444762774,2.18E-11,6.94E-11
ENSG00000166947.15,1.00312572,1.58E-11,5.10E-11
ENSG00000167100.15,1.325265258,0.002234174,0.003403752
ENSG00000167105.8,2.200773302,3.99E-07,8.73E-07
ENSG00000167136.7,4.930670508,1.60E-08,3.95E-08
ENSG00000167311.14,2.138590977,2.06E-12,7.17E-12
ENSG00000167483.19,1.72029538,5.56E-06,1.09E-05
ENSG00000167600.14,1.204795921,1.14E-07,2.62E-07
ENSG00000167751.13,1.437428364,7.33E-08,1.71E-07
ENSG00000167771.6,2.056259754,1.50E-19,1.03E-18
ENSG00000167916.5,1.031243598,2.18E-20,1.65E-19
ENSG00000167968.13,1.098921048,2.09E-07,4.70E-07
ENSG00000168062.10,1.175505744,6.81E-12,2.27E-11
ENSG00000168078.10,8.403706795,4.32E-35,5.04E-33
ENSG00000168589.15,3.555959772,1.18E-19,8.24E-19
ENSG00000168903.9,1.517419538,5.24E-23,5.28E-22
ENSG00000168955.4,1.438570062,2.35E-13,8.86E-13
ENSG00000169126.16,2.259947464,1.15E-13,4.43E-13
ENSG00000169214.5,1.009749649,4.16E-13,1.54E-12
ENSG00000169224.13,1.854544575,7.69E-12,2.55E-11
ENSG00000169245.6,1.331476824,6.28E-32,2.85E-30
ENSG00000169248.13,4.019202645,4.37E-30,1.31E-28
ENSG00000169258.7,2.702992351,2.51E-32,1.26E-30
ENSG00000169429.12,2.83419907,8.52E-20,6.03E-19
ENSG00000169436.18,1.976030867,1.56E-15,7.17E-15
ENSG00000169495.5,1.913582384,2.10E-15,9.53E-15
ENSG00000169562.13,2.448191762,3.98E-05,7.25E-05
ENSG00000169583.13,4.222397305,2.17E-17,1.19E-16
ENSG00000169607.13,2.681377857,8.58E-38,5.23E-35
ENSG00000169618.7,1.07817323,1.06E-06,2.23E-06
ENSG00000169679.15,1.376457503,1.44E-39,1.15E-35
ENSG00000169894.18,3.963666156,1.93E-10,5.68E-10
ENSG00000169933.17,1.616046208,8.56E-15,3.66E-14
ENSG00000170214.5,2.229696747,2.20E-05,4.11E-05
ENSG00000170296.10,1.574129845,0.021479853,0.029090324
ENSG00000170312.17,1.224044569,8.48E-38,5.23E-35
ENSG00000170442.12,6.583363457,3.22E-05,5.92E-05
ENSG00000170681.7,2.237098176,1.66E-14,6.91E-14
ENSG00000170775.3,1.076991528,1.55E-11,5.01E-11
ENSG00000170848.16,2.091383485,7.49E-27,1.26E-25
ENSG00000170935.8,1.002466277,1.42E-06,2.95E-06
ENSG00000171056.8,1.181443927,8.05E-12,2.67E-11
ENSG00000171180.3,2.335952463,1.54E-19,1.06E-18
ENSG00000171241.9,1.332059121,2.18E-38,2.48E-35
