"","log2foldChange","pValues","FDR"
"ENSG00000105202.9",0.0411160349931669,0.404545599592483,0.44877814254561
"ENSG00000105204.14",-0.242192455091391,8.63380676808907e-05,0.000152057127409739
"ENSG00000105205.7",-0.483879436839833,8.7817244649081e-07,1.86449031609578e-06
"ENSG00000105219.10",-1.29498047074194,0.000264509105542351,0.000444900399017793
"ENSG00000105220.17",0.169330660689996,2.39689659286049e-19,1.61288318121159e-18
"ENSG00000105221.18",0.00341304291527397,0.577483196397182,0.618284187408733
"ENSG00000105223.21",0.0915488631059837,1.9457720877706e-11,6.22886710197391e-11
"ENSG00000105227.16",-0.654499201297575,2.35734863121524e-28,5.09529526906291e-27
"ENSG00000105229.7",0.116007770228952,6.78598622534974e-09,1.7386432505029e-08
"ENSG00000105245.9",-0.111127335929286,0.000146162365411177,0.000252049134686057
"ENSG00000105246.6",0.86434354012335,2.40344729130566e-05,4.47795722704629e-05
"ENSG00000105248.16",-0.0187261712888515,0.191676766798334,0.225435927389819
"ENSG00000105254.12",0.196357505443009,1.3673013209197e-25,1.92811488799669e-24
"ENSG00000105255.11",-1.21687768733622,3.45881024613115e-09,9.09665315203984e-09
"ENSG00000105258.9",0.415578520893383,2.28841378645383e-17,1.25807383481494e-16
"ENSG00000105261.8",-0.540206981789266,0.000431357383461745,0.000709963096761748
"ENSG00000105270.15",-0.471408949005519,4.1615620777234e-24,4.82385753914793e-23
"ENSG00000105278.12",0.00609075004886888,0.355724501876777,0.398874938656185
"ENSG00000105281.12",0.0907563719433704,7.84497961800912e-07,1.67418153259086e-06
"ENSG00000105287.13",0.0246221195484333,0.0591550009579518,0.0755315363382598
"ENSG00000105289.15",0.186768633352386,1.31940596751123e-05,2.51914220801401e-05
"ENSG00000105290.13",0.924613383442906,0.0389015432641061,0.0509457401132963
"ENSG00000105298.14",0.0728277019444092,0.000581267860391391,0.000942884839542224
"ENSG00000105321.14",-0.0717668539663039,0.000184287090033119,0.000314486693284694
"ENSG00000105323.18",0.0375013633269482,0.000455886482019147,0.000748287182383028
"ENSG00000105325.15",0.00159040384581473,0.848129684508697,0.866955025947883
"ENSG00000105327.18",0.262619905861789,1.95286098997292e-06,4.00643474404411e-06
"ENSG00000105329.11",0.0192936146050765,0.204151001907523,0.239053005746025
"ENSG00000105339.11",0.0694932940976456,8.15268659579122e-05,0.000143905991355613
"ENSG00000105341.19",0.0359090166246545,0.0533538723370715,0.0685467523331932
"ENSG00000105352.11",-0.188228525893088,0.119617078611423,0.145609438724041
"ENSG00000105355.9",0.2220489924556,3.4020644138223e-23,3.51802824127929e-22
"ENSG00000105357.20",-0.0947563476965729,0.670311493124306,0.705045397997791
"ENSG00000105364.14",0.335112318873422,7.05645622195296e-19,4.524008544806e-18
"ENSG00000105366.15",0.90464053755252,2.03775746701907e-08,5.00320679402354e-08
"ENSG00000105369.10",0.578156218992357,3.38127660054961e-06,6.78179012656664e-06
"ENSG00000105372.8",0.0639599818901379,6.97420833270835e-09,1.78507839249352e-08
"ENSG00000105373.19",-0.126483729924085,7.05645622195296e-19,4.524008544806e-18
"ENSG00000105374.10",0.667081697389972,8.04798189459895e-11,2.44832030042893e-10
"ENSG00000105376.5",-0.411272145884373,0.0644027503301407,0.0817454376500474
"ENSG00000105379.10",-0.0723455436447501,0.401446048311848,0.445565308958988
"ENSG00000105383.15",0.230901585735986,0.000964793179048558,0.00152989202743244
"ENSG00000105388.17",-0.817484960135834,0.148388951852958,0.17799130005014
"ENSG00000105393.16",0.288299670368277,2.05278331588087e-24,2.46037190626738e-23
"ENSG00000105397.15",0.0781370962943357,1.12587165354894e-12,4.0059871793503e-12
"ENSG00000105401.9",0.0647055101259936,4.8366388965037e-08,1.14906701467595e-07
"ENSG00000105402.8",0.0698815740174282,1.42269655556758e-05,2.70826254070341e-05
"ENSG00000105404.11",0.477985673644145,1.52844873785107e-17,8.54677324314132e-17
"ENSG00000105419.18",-0.333290520646285,2.71622593511005e-10,7.88018971393874e-10
"ENSG00000105426.19",-0.208796456052839,1.4142481461192e-20,1.09343092739153e-19
"ENSG00000105427.10",-1.52665087102111,0.0619249419810571,0.0788025846610656
"ENSG00000105429.13",-0.0816060350002821,1.67221654804769e-06,3.45168273404473e-06
"ENSG00000105438.9",0.112462715688932,2.476244886591e-17,1.35647270792343e-16
"ENSG00000105443.17",0.063400874207104,0.00137198128379287,0.00214071516280261
"ENSG00000105447.13",0.143784522291783,2.19628930162704e-16,1.09496731421006e-15
"ENSG00000105464.4",1.32386498895368,2.31045970510021e-09,6.17821356714285e-09
"ENSG00000105472.14",0.0979410380688407,0.0145027517188898,0.0200882399841967
"ENSG00000105479.16",0.0482805809900159,0.331396845271182,0.373947707638146
"ENSG00000105483.18",-0.00579866068638705,0.760062869685986,0.78737758895325
"ENSG00000105486.15",0.218217469343329,1.25605309785612e-19,8.70804804799843e-19
"ENSG00000105492.16",-2.40128036051857,0.000796899124430085,0.00127546276915906
"ENSG00000105497.8",-0.223535043672021,4.92715599864921e-15,2.16102962440397e-14
"ENSG00000105499.14",-0.0983805874282379,0.0182718607093072,0.0249840060547974
"ENSG00000105514.8",0.128748250250431,1.64940652828233e-06,3.40804012590591e-06
"ENSG00000105516.11",-0.026575479235838,0.979116168000065,0.981676701929653
"ENSG00000105518.14",0.0297600370903455,0.340158149383437,0.382960415510017
"ENSG00000105519.18",0.610419862140977,8.80192188824283e-12,2.90721242983304e-11
"ENSG00000105520.11",-0.102657366808565,0.00330557439785944,0.00493791507679461
"ENSG00000105523.4",-0.81511509317699,2.00687026383043e-06,4.11036513268401e-06
"ENSG00000105538.10",-0.485091516891183,7.21504277683202e-23,7.16157207146326e-22
"ENSG00000105549.11",0.452904912679152,0.0289834059688465,0.0386248118388221
"ENSG00000105552.15",0.0808002157549326,0.00155264025550734,0.00240863028054553
"ENSG00000105556.12",-0.011192341491088,0.56872950777958,0.60987003472161
"ENSG00000105559.13",-0.360902751508868,5.1805788794844e-22,4.64465170455031e-21
"ENSG00000105568.19",0.0471557492166662,2.92224302263626e-07,6.47976545309982e-07
"ENSG00000105576.16",0.0551300793888692,5.98640478698244e-05,0.000107223207907929
"ENSG00000105607.13",0.1338320898691,2.27173151184296e-09,6.07730285213566e-09
"ENSG00000105609.17",-0.847145840469874,8.86702891407393e-14,3.45961892664497e-13
"ENSG00000105612.10",0.298881225626025,2.53775644125365e-31,1.00562697428541e-29
"ENSG00000105617.4",0.0470006927977025,0.322782794775669,0.364966124698243
"ENSG00000105618.14",0.16079843299923,6.47491989155357e-14,2.55259984567917e-13
"ENSG00000105619.14",0.586894427180913,2.67752915399969e-27,4.85644569380984e-26
"ENSG00000105639.21",0.266363248549595,4.13388070974858e-15,1.82879352731428e-14
"ENSG00000105640.13",0.0706407664603608,4.746082821443e-09,1.23361954420744e-08
"ENSG00000105641.4",-0.750690150381672,6.36391462691052e-06,1.24489843435151e-05
"ENSG00000105642.16",0.230372883119772,0.0857898191102983,0.106818476918441
"ENSG00000105643.11",0.014901262798647,0.601557481147406,0.641261278474632
"ENSG00000105655.19",-0.0965448441783859,0.00522747271640823,0.00763593921440953
"ENSG00000105656.13",0.0447303978907364,0.00643592926799747,0.00930237448533225
"ENSG00000105662.16",-0.170161067785302,1.81455413683851e-12,6.35539453362726e-12
"ENSG00000105664.11",1.23549938876615,3.36211335965136e-21,2.7608936774797e-20
"ENSG00000105669.14",0.265128416823422,1.68439075209763e-31,6.84264221954788e-30
"ENSG00000105671.12",0.257804492679087,2.98951593172856e-27,5.37149637621832e-26
"ENSG00000105672.15",-0.33650693987004,0.0125278078233854,0.0174773888447148
"ENSG00000105675.9",-0.164999401495216,0.0346804573321047,0.0457223309333297
"ENSG00000105676.14",0.271288844402551,2.50078892449758e-26,3.89744395849926e-25
"ENSG00000105677.12",0.249310033299941,1.18641378873506e-30,4.02527625158108e-29
"ENSG00000105695.15",0.533393854884039,0.000156219842421715,0.000268773141129545
"ENSG00000105696.9",1.42330342691762,7.03806992146612e-07,1.50827726775634e-06
"ENSG00000105697.9",-1.05741245053593,2.65585019642446e-06,5.38206682355695e-06
"ENSG00000105698.16",0.0828793302949847,3.33318188541856e-11,1.04510347176112e-10
"ENSG00000105699.17",0.28899207612638,1.50785119528559e-22,1.44387461787712e-21
"ENSG00000105700.11",0.111102784788917,1.61035059073819e-11,5.193046258914e-11
"ENSG00000105701.16",0.00212511851768622,0.94105930610884,0.949229781881285
"ENSG00000105705.16",0.125807983973594,8.38595295662918e-17,4.35203998532612e-16
"ENSG00000105707.15",0.151477956213858,0.0182266691839935,0.0249244357992895
"ENSG00000105708.9",-0.0937248750805291,1.93946579056788e-09,5.21435442343158e-09
"ENSG00000105711.14",-0.362650370455232,3.34204787301221e-10,9.61485323263835e-10
"ENSG00000105717.14",0.543757279931789,2.57110130561704e-09,6.84592830493795e-09
"ENSG00000105722.10",-0.0606067598647792,0.0010990643833626,0.00173259681857084
"ENSG00000105723.13",0.111418776451581,3.67190578001431e-07,8.06856442031945e-07
"ENSG00000105726.17",0.159874064938306,1.16924987133709e-20,9.11824632692091e-20
"ENSG00000105732.13",0.0568857355917262,0.00575465707209479,0.00836498042929949
"ENSG00000105738.11",0.120467491179868,1.77138704371034e-09,4.77754238635595e-09
"ENSG00000105750.15",1.47500496712386,8.25298628402903e-19,5.2526943830142e-18
"ENSG00000105755.8",0.178072078746004,2.88229435233593e-10,8.34303983394634e-10
"ENSG00000105767.3",0.0449562283931043,0.143801973820025,0.172820435681752
"ENSG00000105771.14",0.0915050883559067,1.41488723642876e-10,4.20870976903369e-10
